formula,probability,confidence,priority,suggested_method,notes
Mn2CrBr4,0.9992765165699993,Very High,1,PBE+U,Novel - not in C2DB/V2DB
Mn2CrCl4,0.9992293373626762,Very High,2,PBE+U,Novel - not in C2DB/V2DB
Mn2CrI4,0.9991423576493729,Very High,3,PBE+U,Novel - not in C2DB/V2DB
Mn2CrF4,0.999083839919833,Very High,4,PBE+U,Novel - not in C2DB/V2DB
Mn2FeO4,0.9990130118075068,Very High,5,PBE+U,Novel - not in C2DB/V2DB
Mn2CrO4,0.9989801421832577,Very High,6,PBE+U,Novel - not in C2DB/V2DB
Mn2FeCl4,0.9988439860318101,Very High,7,PBE+U,Novel - not in C2DB/V2DB
Mn2FeI4,0.9987690085185135,Very High,8,PBE+U,Novel - not in C2DB/V2DB
Mn2CoCl4,0.9987355884280952,Very High,9,PBE+U,Novel - not in C2DB/V2DB
Fe2CoCl4,0.9987055367796782,Very High,10,PBE+U,Novel - not in C2DB/V2DB
Mn2CrS4,0.9986256306403103,Very High,11,PBE+U,Novel - not in C2DB/V2DB
Mn2VCl4,0.9985747997576989,Very High,12,PBE+U,Novel - not in C2DB/V2DB
Mn2CrTe4,0.9985510727341652,Very High,13,PBE+U,Novel - not in C2DB/V2DB
Mn2FeBr4,0.9985489242927218,Very High,14,PBE+U,Novel - not in C2DB/V2DB
MnCrBr3,0.9985380779458124,Very High,15,PBE+U,Novel - not in C2DB/V2DB
Mn2VBr4,0.9985181072799567,Very High,16,PBE+U,Novel - not in C2DB/V2DB
Cr2CoCl4,0.9984825252821812,Very High,17,PBE+U,Novel - not in C2DB/V2DB
FeCoBr3,0.9984771537462659,Very High,18,PBE+U,Novel - not in C2DB/V2DB
Mn2FeS4,0.9984726543081495,Very High,19,PBE+U,Novel - not in C2DB/V2DB
Mn2NiBr4,0.9984372272871747,Very High,20,PBE+U,Novel - not in C2DB/V2DB
Mn2FeF4,0.9984225203041543,Very High,21,PBE+U,Novel - not in C2DB/V2DB
CrFeBr3,0.9983830284724552,Very High,22,PBE+U,Novel - not in C2DB/V2DB
MnFeBr3,0.998360864275039,Very High,23,PBE+U,Novel - not in C2DB/V2DB
Fe2CoBr4,0.9983281386133742,Very High,24,PBE+U,Novel - not in C2DB/V2DB
Mn2CoO4,0.9983205196604246,Very High,25,PBE+U,Novel - not in C2DB/V2DB
FeCoCl3,0.9983139845658628,Very High,26,PBE+U,Novel - not in C2DB/V2DB
Mn2CoBr4,0.9982376263807149,Very High,27,PBE+U,Novel - not in C2DB/V2DB
V(CrCl2)2,0.9982079433547079,Very High,28,PBE+U,Novel - not in C2DB/V2DB
Fe2CoF4,0.9981638497980709,Very High,29,PBE+U,Novel - not in C2DB/V2DB
Mn2CoI4,0.9981637416396945,Very High,30,PBE+U,Novel - not in C2DB/V2DB
Mn2VTe4,0.9981177228190004,Very High,31,PBE+U,Novel - not in C2DB/V2DB
Mn2CoF4,0.998097651101466,Very High,32,PBE+U,Novel - not in C2DB/V2DB
Fe2CoI4,0.9980804094471689,Very High,33,PBE+U,Novel - not in C2DB/V2DB
CrFeCl3,0.9980715352363493,Very High,34,PBE+U,Novel - not in C2DB/V2DB
Mn2FeTe4,0.9979984179891234,Very High,35,PBE+U,Novel - not in C2DB/V2DB
Cr2FeCl4,0.9979554830216085,Very High,36,PBE+U,Novel - not in C2DB/V2DB
Mn2NiCl4,0.9978938081083741,Very High,37,PBE+U,Novel - not in C2DB/V2DB
Mn2VI4,0.9978679381891324,Very High,38,PBE+U,Novel - not in C2DB/V2DB
CrCoBr3,0.9978160629904623,Very High,39,PBE+U,Novel - not in C2DB/V2DB
MnFeCl3,0.9976642264542344,Very High,40,PBE+U,Novel - not in C2DB/V2DB
MnCrCl3,0.9976635900332205,Very High,41,PBE+U,Novel - not in C2DB/V2DB
Mn2VS4,0.9975530783495196,Very High,42,PBE+U,Novel - not in C2DB/V2DB
Cr2FeO4,0.9974803875787761,Very High,43,PBE+U,Novel - not in C2DB/V2DB
Fe2CoO4,0.9974371857489946,Very High,44,PBE+U,Novel - not in C2DB/V2DB
Mn2CoS4,0.9974210684414436,Very High,45,PBE+U,Novel - not in C2DB/V2DB
MnFeO3,0.9973977605610433,Very High,46,PBE+U,Novel - not in C2DB/V2DB
MnCoBr3,0.9973914881353213,Very High,47,PBE+U,Novel - not in C2DB/V2DB
Mn2NiO4,0.9973376116174116,Very High,48,PBE+U,Novel - not in C2DB/V2DB
MnCoCl3,0.9973152920910925,Very High,49,PBE+U,Novel - not in C2DB/V2DB
Cr2FeBr4,0.9973145681089776,Very High,50,PBE+U,Novel - not in C2DB/V2DB
